Gene	Stat	Length
Slc35f3	-4.58980302161014	1310
Ndufaf6	-4.58910167832335	2242
Btf3l4	-4.58855026002405	4027
Htatsf1	-4.58722145370498	645
Dcaf13	-4.57737267736934	96
Ankrd34a	-4.57638095920322	809
Hprt	-4.57371901962643	546
Gca	-4.56835132344908	2560
9330151L19Rik	-4.56827207807197	2141
Zfyve27	-4.56545133968067	7460
Trafd1	-4.56476278679697	723
Ahi1	-4.56333576905736	1346
Dgke	-4.5632114052657	5731
Cluh	-4.56233388248429	1664
Fam103a1	-4.56051668005942	933
Pdcl3	-4.55967806868085	953
Nkap	-4.55899255539064	2814
Wif1	-4.55846858693059	893
Cggbp1	-4.55845820429736	3867
Mgat2	-4.55823988599004	791
Gnai3	-4.55538182860092	2042
2310057M21Rik	-4.55493218793381	1087
1700066M21Rik	-4.55355068289725	1859
Unc13a	-4.55201446598499	5660
Sox12	-4.54841411398464	3143
Pigp	-4.54814678024642	1403
Zfand6	-4.54706395820873	852
Srsf1	-4.54558792187095	4093
Kpna3	-4.54417021407049	2445
Scyl3	-4.53712122541501	1793
B3gnt5	-4.53605302104291	3011
Jakmip2	-4.53463477918732	557
1810055G02Rik	-4.53043897853837	288
Klhl21	-4.52779852341927	2052
Preb	-4.52061519366345	6513
Scrn3	-4.517345918663	3939
Zfp738	-4.51599533873031	2336
Mfsd11	-4.51187564751701	3359
Jmy	-4.51156215611991	5323
Sgce	-4.51120733717581	1660
Arid4a	-4.51062928013868	1929
Tsen2	-4.508418260871	5392
Tcp11l2	-4.50675343032937	1770
Idh1	-4.50559586644485	849
AK159995	-4.5053950075949	3379
Rqcd1	-4.50415106980261	2672
Tti1	-4.50365990713978	713
Lrrc40	-4.50333949275281	2505
Dync2li1	-4.49821891073653	201
Lurap1l	-4.49766582681348	5343
Hibch	-4.49507881417392	1212
Znhit6	-4.4930510350874	4780
Rnf138	-4.49098711474123	2070
Ccdc149	-4.4847729850679	1597
Snx5	-4.48410677170137	1467
Prpf40b	-4.47672230257459	1266
Tmem129	-4.47494338015719	1639
Med6	-4.46961119394566	636
Mrpl19	-4.4690427703799	4623
Daxx	-4.46702456284008	954
Dnajc9	-4.46512494791289	1144
C2cd5	-4.46443689800109	4756
Apeh	-4.46168443229721	158
Mbd1	-4.46118415013991	3328
Slc30a5	-4.46070110205926	643
Slc39a13	-4.45905885470504	2839
Capza1	-4.4589440131356	2596
Zkscan2	-4.45687157427797	5962
Hdac1	-4.45685631402966	2025
Rnf24	-4.45553595451572	6272
Thap11	-4.45489088855329	672
Dguok	-4.45467394222214	1649
Iars	-4.45446459956029	1175
Cndp2	-4.45441408451383	566
Trmt61b	-4.45377376953452	1787
Ythdf2	-4.45151211996505	3416
Sec23ip	-4.45084935903225	1409
Tbc1d30	-4.45033195920855	3005
Tspyl3	-4.44367760175254	1942
Tmem53	-4.44126489959651	699
Eepd1	-4.44116602871146	714
Abtb1	-4.44114240216151	332
Ampd2	-4.4405563727666	1521
Ankle2	-4.44008524371663	2158
Srsf7	-4.43132285144492	1523
Dgcr2	-4.42700041820935	3866
Mettl8	-4.4266635904772	4078
Elovl4	-4.40848432441768	1848
Cdk11b	-4.40559432318556	878
Spsb3	-4.40554770595034	881
Ptpro	-4.4054323777975	3673
Enoph1	-4.40392615157407	830
Fnta	-4.40132308429708	726
Ddx17	-4.40018426667126	5272
Dnttip1	-4.39967839707522	1014
Mrpl22	-4.39683909412657	235
Utp15	-4.39680625893278	2284
Ndc1	-4.39584933363583	2476
Cwc25	-4.3954914900294	3408
Siah1a	-4.39260905930487	1068
Slc7a6	-4.39009806335358	2065
Chrnb2	-4.38972682655414	3652
Pank4	-4.38800034329797	748
Pwp1	-4.38555642143351	1284
Zfp598	-4.37621154460445	554
Tmco3	-4.37568422247977	3496
Slitrk1	-4.37552628435143	1198
Krit1	-4.37236596357026	3642
Gnpda1	-4.37209770490469	1676
Eif4a3	-4.37203615633846	818
Serpina3n	-4.36449534815259	723
Tm2d3	-4.36187145672502	339
Erp44	-4.35916887178026	4550
Gm12940	-4.35818830491886	2160
Rbm28	-4.35812741922677	2476
Gm21982	-4.35701122695504	220
Npat	-4.35558435711674	3273
Zbed6	-4.35449329329848	2638
Tmed4	-4.35214972661376	2000
Cep19	-4.35058978352442	802
Sppl3	-4.34933886680992	1877
Cxxc1	-4.34832980455831	286
Bbs4	-4.34609084317192	904
Fam175b	-4.34446916105093	3613
Pank2	-4.34311231590962	3240
Plekha6	-4.34212709413021	3727
Cdk8	-4.34065383649089	2009
Eed	-4.33994074172598	589
Xpnpep1	-4.3332057280026	2897
Gpr12	-4.3287969103479	3645
D330023K18Rik	-4.32753898326058	939
Tmed2	-4.32719344911236	1300
Casd1	-4.32695780589593	1378
Hccs	-4.3248774888993	3584
Tfdp1	-4.32315449278336	1158
Slc44a2	-4.32031934500031	1347
Wdr75	-4.3193592600888	700
Sdccag3	-4.31907901323915	1911
Cbr4	-4.31561595125211	5215
Nsun2	-4.31336775265706	2662
Zmat4	-4.31254454724746	4749
Nudt11	-4.31004610560487	2083
Clk1	-4.30846408420308	3963
Rfxap	-4.30554777213243	1525
Ppt1	-4.30435421312422	2697
Fxr1	-4.30409660128118	7053
Ist1	-4.30257671204369	4103
Ddx26b	-4.30160118678282	3512
Mtmr4	-4.29778187138552	2048
Mpdz	-4.29664695904925	4885
Aftph	-4.29024351855469	4113
Dpy19l4	-4.28744401729559	5732
Cpsf2	-4.28725547000639	2772
Stc2	-4.28563485911698	3267
Cul2	-4.28427426415796	1942
Pigo	-4.28180066082342	785
Nhs	-4.2789595244696	3518
Kbtbd4	-4.27856785223649	1738
Ccdc137	-4.27655727431853	3051
Fkbp4	-4.27522841190203	1146
Ctu1	-4.27415014299072	1117
Ndufaf4	-4.26997912235714	3307
Bag2	-4.26667301118768	1401
Sap30bp	-4.26652154584694	2647
Capn2	-4.26171939250369	1106
Tox2	-4.2602647656556	1389
2810408M09Rik	-4.25910146542197	1839
Timmdc1	-4.25710244526533	2665
Cep57	-4.25440178221679	1518
Zfp397	-4.25380881758639	3628
U2af2	-4.25018532199686	629
Arid4b	-4.24834614328933	5832
Zswim6	-4.24770204221759	1818
Nt5c3	-4.2463348084329	2871
Pex13	-4.24527171647694	5127
Snx7	-4.24463450396134	802
Lrch1	-4.24416050089628	4419
Zfp871	-4.24345442578006	9705
Wdr43	-4.24242774364587	1556
Cyb5d2	-4.23374098470429	4535
Smurf1	-4.23250558005673	2861
Dis3l2	-4.23226994823059	589
R3hcc1	-4.23220905707889	1416
Mrm1	-4.23098052542043	1669
Zbtb33	-4.23097119925063	2813
Psmd7	-4.22858101025823	504
A230050P20Rik	-4.22678635029538	1353
Zfp715	-4.22454833074243	4242
Kdm5c	-4.22293052049745	6537
Fam192a	-4.22270629682395	696
Maoa	-4.21654432292678	2443
Amot	-4.21554095333731	4394
Wdr5	-4.21546354523559	2007
Sesn1	-4.21534702983687	1078
Insig2	-4.21524620647075	2159
Rb1	-4.21224066566827	2794
Nfat5	-4.21059373139081	13636
Lgr4	-4.20882118656807	2321
Zfp420	-4.20620798978743	3722
Mthfd1	-4.20559239796609	240
Patz1	-4.20422333212889	5300
F8a	-4.20381501371118	1334
Cdkn2aipnl	-4.20297359219608	1436
Api5	-4.20245392568566	2376
Etfa	-4.1981767787439	571
Psmd6	-4.19678851609247	1110
Tbcc	-4.19262575051864	748
Scarb2	-4.19099163114028	2952
Zfp35	-4.18999372429942	1033
Btbd6	-4.18961949929586	404
Ccbl1	-4.18700954701577	1031
Mon1a	-4.18668760973392	1175
Tram1l1	-4.1822281536864	976
Exog	-4.18128917088518	5073
Zfpl1	-4.17867298741712	730
Ptbp2	-4.17796480422799	7839
Psmd5	-4.17713745378405	2527
Nkrf	-4.17437687447909	2861
Mpzl1	-4.17223608037315	1497
Psmg1	-4.16956319386585	305
Fmnl2	-4.16908241144708	2362
Dmap1	-4.16622793862895	1177
Zfp160	-4.16584847433603	3362
Tmem132d	-4.16427666727287	2150
Pip5kl1	-4.1629238274086	1105
Fbxo42	-4.16172587796516	3530
Abhd14b	-4.16169640262689	755
Hectd2	-4.16161920482437	7178
Tmem176a	-4.1591050147922	1949
Fastkd5	-4.15728681150764	1605
Bivm	-4.15683149378501	3192
Pin4	-4.15405563094492	174
Ccz1	-4.15204332565542	285
Pofut2	-4.15181312303578	906
Apoo	-4.15084503760531	252
Oprl1	-4.14847801380458	2451
Tiprl	-4.1473377172451	3753
Eftud2	-4.14221676082502	6001
Slc35g2	-4.14142591615173	190
Amigo1	-4.13929639890162	3619
Hmgcl	-4.13892171725643	662
Psmc6	-4.13823584387356	370
Msl2	-4.13633772162757	2637
Apex1	-4.13312958159361	215
Rmnd5b	-4.13279751351227	806
Agpat6	-4.13230144414042	3880
Akap9	-4.13164750159938	4705
Leprotl1	-4.13140258970368	2150
Rhoa	-4.12962962615236	1118
Mpped2	-4.12551700954249	1638
Herpud2	-4.1229508844364	714
5730409E04Rik	-4.12263555495169	1998
Dhrs7	-4.12101806711545	220
Hgs	-4.11659765397434	984
Dixdc1	-4.11613285901814	5092
Sf1	-4.11558042463239	3369
Cd320	-4.112284526386	1648
Gspt2	-4.11048797721435	891
Dnaja4	-4.10933066372839	1640
Fbxo25	-4.10907140892484	6635
Grpel2	-4.10820523365962	3339
1110012L19Rik	-4.10704723240429	325
Fut8	-4.10668658886133	1719
Hspa2	-4.10323262790288	501
Sos1	-4.10157082485791	6092
Champ1	-4.10125341348254	1387
Sars2	-4.10024870008635	1616
Polr2j	-4.09352613682396	666
Cul4a	-4.0933006691082	3533
Ubr5	-4.09140406962226	965
Wdr73	-4.08961296401097	2822
Taf9b	-4.08906427888602	1620
Hnrnpdl	-4.08710798288608	2853
Acp2	-4.08416157017381	3548
Ccnl1	-4.08219931723387	3015
Rnf146	-4.07988643638881	2632
Zmym4	-4.07808837479849	4505
Sh3yl1	-4.07800115860221	359
Parp2	-4.07590882749433	1416
Rbmxl1	-4.07542363293194	277
Tmem176b	-4.07485589007551	1811
Dock3	-4.07002350151363	8009
Car2	-4.06727438861262	680
Itgb1	-4.06714143671677	1964
Zfp451	-4.0656092683583	14314
Ddx42	-4.06414671776331	1291
Psmb5	-4.06337455017139	72
Gtpbp4	-4.05902636379925	1051
Ifrd1	-4.056837127885	3861
Fam69a	-4.05394481859948	1362
Ptrh2	-4.05305014599964	2353
Emd	-4.05136474223284	1761
Slc33a1	-4.04959660203477	1323
Pik3c3	-4.04946487241246	1508
Prkab1	-4.04882034683102	2180
Pitpnb	-4.04847562890002	1857
Cstf1	-4.04770306752574	1828
Slmo2	-4.04470319314624	1081
Caml	-4.04376065467724	1146
Gucy1b3	-4.04350180638671	1267
5330417C22Rik	-4.04071384103871	3254
Chmp1b	-4.03946311987651	1787
Gbe1	-4.03925638279386	3367
Chac1	-4.03812445713439	791
Ppp1r3e	-4.03798677146197	1421
BC052040	-4.03777442893142	3377
Gorab	-4.03599733784682	1789
Hcn3	-4.0359012076199	1780
Alcam	-4.02798395777618	3203
Zfp9	-4.02741137702636	2385
Zdhhc13	-4.02720522378189	433
Sfswap	-4.02577821263034	3298
Klhdc8b	-4.02491393151689	2988
Phlda1	-4.02249677083087	590
Iffo1	-4.02232586472844	1469
Cwc27	-4.02121328887704	1206
AB351656	-4.02015263669796	2380
Pnoc	-4.01728104682387	1189
Ikzf5	-4.01680138561938	3226
Bmyc	-4.01598756913959	281
Rrs1	-4.01423129100178	834
Psmd1	-4.01391974909754	1002
Als2	-4.01390540600044	2234
Gopc	-4.01349033238636	2699
Arhgap24	-4.01343324144894	4526
Ttc17	-4.0131047271553	5699
Cspg5	-4.01145034943054	3719
Dnm3	-4.00897802658252	12297
Taldo1	-4.00865658673508	1164
Vwa5a	-4.00820181014053	7484
1810013L24Rik	-4.00639683248424	8217
Zfp281	-4.00413537959457	5308
Cdk9	-4.0017698631673	2920
Rab8b	-3.99969640131571	4148
Smim11	-3.99413381704354	648
Slc36a1	-3.99245777752176	3229
Prpf18	-3.98918125573394	2628
Ica1	-3.98876139346673	570
Gsr	-3.98808402917171	1090
Clcc1	-3.98781475684672	2199
Spata2	-3.98287152615459	2516
Sfrp1	-3.97539545696586	3144
Bhlhb9	-3.97488706654155	631
Syap1	-3.96888171149003	1141
Hnrnpul2	-3.96838469316545	2607
Ptprn2	-3.96791101584331	5523
Kcnj6	-3.96520186561921	8585
Mark3	-3.96498887723561	612
Nampt	-3.96357273667275	2836
Dgat1	-3.95996659763219	1351
Cpsf3	-3.95654538754587	623
Cog6	-3.95601744006224	1024
Tm6sf1	-3.95520295857405	3879
Xrn2	-3.95481386372527	868
Pop1	-3.95366192773077	968
Hdac2	-3.94417226291487	2514
Pdcl	-3.94361311778522	2020
Kctd6	-3.94178795658855	1530
Tmtc4	-3.94067371840386	3289
Rufy1	-3.9404301864155	529
Sars	-3.93825113783526	3427
Dlx2	-3.93816398762198	1171
Rrm2b	-3.9370736453118	3641
Med9	-3.93442632143176	2530
Srsf5	-3.93437835470068	1818
Naa35	-3.93225453177277	3185
Ccdc58	-3.93092405774423	234
Pacrg	-3.93004199164255	443
Dirc2	-3.92925751861906	3957
Nploc4	-3.92885343532838	3029
Sgcb	-3.92868883112176	2746
Golm1	-3.92790436431634	2296
Vps39	-3.92760485906679	3202
Usp11	-3.92654090111293	1871
Mdn1	-3.92540265131171	5705
Fen1	-3.92439625842085	804
Gnb5	-3.92439157151968	959
Rad51d	-3.92422968173839	6551
Cox18	-3.9205528917334	645
Rbm45	-3.92042287993672	314
Kdm1b	-3.91916425366609	2796
Rap1a	-3.91901462069018	1705
Ormdl3	-3.91769740326843	1456
Adss	-3.91696508993241	2381
D1Ertd622e	-3.91315969254185	1813
Klhl28	-3.91300139345602	5339
Kctd3	-3.9123118619484	1515
Ctsl	-3.90967452434046	4728
Zfyve9	-3.9088140304454	1793
Ophn1	-3.90877381252704	10404
Naa30	-3.90819508390103	3480
Trmu	-3.90594537798805	1119
Grik1	-3.90547276269331	2537
Chmp7	-3.90514246987014	1269
Lrrn3	-3.90494773896922	2948
Ano4	-3.90374073876895	3325
Hnmt	-3.90149980193772	682
Uba2	-3.89978620961885	1867
Ubqln4	-3.89711557090199	1792
Ap4b1	-3.89482397176734	265
BC030500	-3.89465089706129	1093
Ccdc132	-3.89445075302122	4123
Pcnxl3	-3.89391314372579	2241
Flrt3	-3.89327978764005	1834
Echdc1	-3.89241379267973	1981
Glmn	-3.88892696821746	390
Thap1	-3.88871606411773	1684
Hiat1	-3.88854841103259	2108
Fam117b	-3.88742088205675	3728
Anapc7	-3.88713407078898	3021
Ythdf3	-3.88703753109254	3059
Trio	-3.8864082199748	2789
3110043O21Rik	-3.88615053197483	3223
AK148964	-3.88363363555802	3865
Lig4	-3.88356071536531	1022
Eid2	-3.88192434187259	3695
Gramd2	-3.87751831936721	2708
Atg7	-3.87614821316793	2136
Ppp4r4	-3.87574772338477	1025
Abcg4	-3.87519184719425	2427
Rnf214	-3.87344963399914	2971
Tmem121	-3.87329201726674	402
Lpcat4	-3.87125945839889	536
Faim2	-3.86881580177948	3491
Alg3	-3.86455795206972	415
Snx4	-3.86136365924671	1657
Chic2	-3.86068061399295	5797
Ccdc90b	-3.86007736925137	643
Clk4	-3.8591116425612	2800
Uggt1	-3.85688247582179	9630
Fam179b	-3.85586531375963	1483
Thumpd1	-3.85298504614151	2467
Qrich1	-3.85115182264168	1063
Cadm4	-3.84872017416858	918
Zfx	-3.84856551132832	5206
Dnajc8	-3.84753813431374	1368
Rundc3b	-3.84606821908157	2109
Pus1	-3.84426976290083	1429
Ubr1	-3.84095585593282	4866
Dtd1	-3.83961590376856	655
Prkcsh	-3.83897913115719	334
2310061I04Rik	-3.83767223257995	811
Gm4204	-3.83627736872824	180
Dnmt1	-3.83542131376856	315
Nap1l4	-3.8342728242225	1059
Srsf6	-3.83211829789232	2793
Asphd1	-3.83156526446767	534
Itfg2	-3.82974695111035	4180
Anxa7	-3.82965470651579	3148
Hadh	-3.82929881986622	4223
Mettl14	-3.82915083409826	3556
Mmaa	-3.82894834522735	4332
Asxl1	-3.82786217201468	2215
Rnft2	-3.82423731364209	4438
Narfl	-3.82336875112136	1592
Zfp90	-3.82218517447872	6187
AK083815	-3.82212616550604	3234
2810008D09Rik	-3.82179299222767	1847
Atg2a	-3.81985842027853	1988
Zmat5	-3.81969089179984	795
Atg4c	-3.81801880571016	3758
Noc4l	-3.81712319012509	1283
